https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^TechCorp^Software Developer^Develop and maintain software applications.^$50,000^Excel, Leadership, Detail-Oriented, Interpersonal, Creativity^contact@techcorp.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^BuildIt Inc.^Construction Worker^Assist in building structures and other construction projects.^$40,000^construction, accounting, Problem-Solving, Coding, Empathy^contact@builditinc.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^DesignPro^Graphic Designer^Create visual concepts for branding and advertising.^$60,000^Organization, construction, Reliability, Efficiency, Cooking^contact@designpro.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^MarketGiant^Marketing Specialist^Plan and execute marketing campaigns.^$55,000^Analytical, Initiative, Flexibility, Reliability, Motivation^contact@marketgiant.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^EduTech^Educational Consultant^Advise educational institutions on curriculum development.^$70,000^Critical-Thinking, accounting, Technical, Creativity, Motivation^contact@edutech.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^HealthPlus^Nurse^Provide medical care to patients.^$45,000^Communication, Organization, Initiative, Engineering, Excel^contact@healthplus.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^Foodies^Chef^Prepare and cook food in a restaurant setting.^$65,000^Interpersonal, Problem-Solving, Cooking, Teamwork, Adaptability^contact@foodies.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^AutoWorks^Mechanic^Perform maintenance and repairs on vehicles.^$75,000^Empathy, Cooking, Efficiency, Flexibility, Coding^contact@autoworks.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^SafeHome^Security Officer^Ensure the safety and security of premises.^$35,000^Coding, Engineering, Reliability, Motivation, Excel^contact@safehome.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^GreenEnergy^Environmental Engineer^Develop solutions for environmental sustainability.^$80,000^Teamwork, Critical-Thinking, Cooking, Creativity, Innovation^contact@greenenergy.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^ArtSpace^Artist^Create artwork for various clients and projects.^$85,000^Creativity, Collaboration, Detail-Oriented, Leadership, Initiative^contact@artspace.com
https://design.berkeley.edu/wp-content/uploads/2019/03/Screen-Shot-2019-03-19-at-12.07.18-AM-e1699750375622.png^FinanceHub^Accountant^Manage financial records and ensure compliance.^$90,000^Motivation, Reliability, Innovation, Teamwork, Collaboration^contact@financehub.com
